PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic
chr21	29155385	29155614	PE_1_of_1_in_NM_001286620.2_intron_2_0_chr21_29149251_f	NMD_in	MAP3K7CL	TAK1L, C21orf7	chr21	29149250	29159940	NM_001286620.2_intron_2_0_chr21_29149251_f	611110	NA	NA	NA	NA
chr21	32677529	32677551	PE_1_of_1_in_NM_203446.3_intron_20_0_chr21_32676356_r	NMD_in	SYNJ1	SYNJ1, PARK20, DEE53	chr21	32676355	32678644	NM_203446.3_intron_20_0_chr21_32676356_r	604297	Parkinson disease 20, early-onset, 615530 (3), Autosomal recessive; Developmental and epileptic encephalopathy 53, 617389 (3), Autosomal recessive	Rare Single Gene Mutation	2	0
chr21	33559895	33560070	PE_1_of_1_in_NM_138927.4_intron_5_0_chr21_33559776_f	NMD_in	SON	SON, TOKIMS	chr21	33559775	33567156	NM_138927.4_intron_5_0_chr21_33559776_f	182465	ZTTK syndrome, 617140 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr21	33572551	33572630	PE_1_of_1_in_NM_138927.4_intron_7_0_chr21_33569088_f	NMD_in	SON	SON, TOKIMS	chr21	33569087	33573307	NM_138927.4_intron_7_0_chr21_33569088_f	182465	ZTTK syndrome, 617140 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Functional	1	0
chr21	36056886	36056982	PE_1_of_1_in_NM_017438.5_intron_8_0_chr21_36053621_r	NMD_in	SETD4	NA	chr21	36053620	36057108	NM_017438.5_intron_8_0_chr21_36053621_r	NA	NA	NA	NA	NA
chr21	41241191	41241339	PE_1_of_1_in_NM_012105.5_intron_2_0_chr21_41237730_f	NMD_in	BACE2	BACE2, ALP56, DRAP	chr21	41237729	41241818	NM_012105.5_intron_2_0_chr21_41237730_f	605668	NA	NA	NA	NA
chr21	43101366	43101432	PE_1_of_1_in_NM_006758.3_intron_5_0_chr21_43100520_r	NMD_in	U2AF1	U2AF1	chr21	43100519	43104314	NM_006758.3_intron_5_0_chr21_43100520_r	191317	NA	NA	NA	NA
chr21	46206312	46206384	PE_1_of_1_in_NM_002340.6_intron_5_0_chr21_46205942_r	NMD_in	LSS	LSS, OSC, CTRCT44, HYPT14, APMR4	chr21	46205941	46206671	NM_002340.6_intron_5_0_chr21_46205942_r	600909	Hypotrichosis 14, 618275 (3), Autosomal recessive; Cataract 44, 616509 (3), Autosomal recessive; Alopecia-intellectual disability syndrome 4, 618840 (3), Autosomal recessive	NA	NA	NA
chr21	46637284	46637380	PE_1_of_1_in_NM_206962.4_intron_2_0_chr21_46636991_f	NMD_in	PRMT2	HRMT1L1, PRMT2	chr21	46636990	46643534	NM_206962.4_intron_2_0_chr21_46636991_f	601961	NA	NA	NA	NA
chr22	19408273	19408406	PE_1_of_1_in_NM_003325.4_intron_21_0_chr22_19407275_r	NMD_in	HIRA	HIRA, TUPLE1	chr22	19407274	19408482	NM_003325.4_intron_21_0_chr22_19407275_r	600237	NA	NA	NA	NA
chr22	20125729	20125949	PE_1_of_1_in_NM_001278639.2_intron_3_0_chr22_20125437_f	NMD_in	RANBP1	RANBP1, HTF9A	chr22	20125436	20126302	NM_001278639.2_intron_3_0_chr22_20125437_f	601180	NA	NA	NA	NA
chr22	20433558	20433633	PE_1_of_1_in_NM_182895.5_intron_9_0_chr22_20431989_r	NMD_in	SCARF2	SCARF2, SREC2, VDEGS	chr22	20431988	20437581	NM_182895.5_intron_9_0_chr22_20431989_r	613619	Van den Ende-Gupta syndrome, 600920 (3), Autosomal recessive	NA	NA	NA
chr22	20970925	20971005	PE_1_of_1_in_NM_001386814.1_intron_1_0_chr22_20967976_f	NMD_in	AIFM3	AIFM3, AIFL	chr22	20967975	20973306	NM_001386814.1_intron_1_0_chr22_20967976_f	617298	NA	NA	NA	NA
chr22	23285712	23285755	PE_1_of_1_in_NM_004327.4_intron_9_0_chr22_23285202_f	NMD_in	BCR	BCR, CML, PHL, ALL	chr22	23285201	23287158	NM_004327.4_intron_9_0_chr22_23285202_f	151410	Leukemia, chronic myeloid, Philadelphia chromosome positive, somatic, 608232 (4); Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic, 613065 (4)	NA	NA	NA
chr22	24113302	24113382	PE_1_of_1_in_NM_012295.4_intron_25_0_chr22_24098193_f	NMD_in	CABIN1	CABIN1, CAIN	chr22	24098192	24113565	NM_012295.4_intron_25_0_chr22_24098193_f	604251	NA	NA	NA	NA
chr22	28712169	28712293	PE_1_of_1_in_NM_007194.4_intron_9_0_chr22_28712018_r	NMD_in	CHEK2	CHEK2, RAD53, CHK2, CDS1, LFS2	chr22	28712017	28719394	NM_007194.4_intron_9_0_chr22_28712018_r	604373	{Colorectal cancer, susceptibility to}, 114500 (3), Somatic mutation, Autosomal dominant; Osteosarcoma, somatic, 259500 (3); {Breast cancer, susceptibility to}, 114480 (3), Somatic mutation, Autosomal dominant; {Prostate cancer, familial, susceptibility to}, 176807 (3), Somatic mutation, Autosomal dominant; Li-Fraumeni syndrome 2, 609265 (3)	NA	NA	NA
chr22	29003973	29004031	PE_1_of_1_in_NM_001206998.2_intron_1_0_chr22_28987202_f	NMD_in	ZNRF3	ZNRF3, KIAA1133	chr22	28987201	29042494	NM_001206998.2_intron_1_0_chr22_28987202_f	612062	NA	NA	NA	NA
chr22	29654141	29654279	PE_1_of_1_in_NM_000268.4_intron_3_0_chr22_29642286_f	NMD_in	NF2	NF2	chr22	29642285	29654656	NM_000268.4_intron_3_0_chr22_29642286_f	607379	Neurofibromatosis, type 2, 101000 (3), Autosomal dominant; Meningioma, NF2-related, somatic, 607174 (3); Schwannomatosis, somatic, 162091 (3)	NA	NA	NA
chr22	31271935	31272443	PE_1_of_1_in_NM_005569.4_intron_11_0_chr22_31271202_f	NMD_in	LIMK2	LIMK2	chr22	31271201	31272529	NM_005569.4_intron_11_0_chr22_31271202_f	601988	NA	NA	NA	NA
chr22	31623684	31623849	PE_1_of_2_in_NM_001326411.2_intron_4_0_chr22_31621886_r	NMD_in	PISD	PISD, PSD, PSSC, LIBF	chr22	31621885	31648100	NM_001326411.2_intron_4_0_chr22_31621886_r	612770	Liberfarb syndrome, 618889 (3), Autosomal recessive	NA	NA	NA
chr22	31625763	31626016	PE_2_of_2_in_NM_001326411.2_intron_4_0_chr22_31621886_r	NMD_in	PISD	PISD, PSD, PSSC, LIBF	chr22	31621885	31648100	NM_001326411.2_intron_4_0_chr22_31621886_r	612770	Liberfarb syndrome, 618889 (3), Autosomal recessive	NA	NA	NA
chr22	31945371	31945564	PE_1_of_1_in_NM_003405.4_intron_0_0_chr22_31944821_f	NMD_in	YWHAH	YWHAH, YWHA1	chr22	31944820	31956138	NM_003405.4_intron_0_0_chr22_31944821_f	113508	NA	NA	NA	NA
chr22	33703779	33703910	PE_1_of_1_in_NM_133642.5_intron_12_0_chr22_33650669_r	NMD_in	LARGE1	LARGE, KIAA0609, MDC1D, MDDGA6, MDDGB6	chr22	33650668	33761370	NM_133642.5_intron_12_0_chr22_33650669_r	603590	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6, 608840 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, 613154 (3), Autosomal recessive	NA	NA	NA
chr22	35262776	35262880	PE_1_of_1_in_NM_001003681.3_intron_1_0_chr22_35262422_f	NMD_in	HMGXB4	HMGXB4, HMG2L1	chr22	35262421	35263077	NM_001003681.3_intron_1_0_chr22_35262422_f	604702	NA	NA	NA	NA
chr22	35263982	35264096	PE_1_of_1_in_NM_001003681.3_intron_3_0_chr22_35263875_f	NMD_in	HMGXB4	HMGXB4, HMG2L1	chr22	35263874	35264647	NM_001003681.3_intron_3_0_chr22_35263875_f	604702	NA	NA	NA	NA
chr22	35767368	35767441	PE_1_of_1_in_NM_001349999.2_intron_7_0_chr22_35765484_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35765483	35768256	NM_001349999.2_intron_7_0_chr22_35765484_r	612149	NA	NA	NA	NA
chr22	35772931	35772971	PE_1_of_2_in_NM_001349999.2_intron_8_0_chr22_35768350_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35768349	35778024	NM_001349999.2_intron_8_0_chr22_35768350_r	612149	NA	NA	NA	NA
chr22	35776324	35776387	PE_2_of_2_in_NM_001349999.2_intron_8_0_chr22_35768350_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35768349	35778024	NM_001349999.2_intron_8_0_chr22_35768350_r	612149	NA	NA	NA	NA
chr22	35894813	35894870	PE_1_of_2_in_NM_001349999.2_intron_11_0_chr22_35810005_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35810004	35938846	NM_001349999.2_intron_11_0_chr22_35810005_r	612149	NA	NA	NA	NA
chr22	35918111	35918237	PE_2_of_2_in_NM_001349999.2_intron_11_0_chr22_35810005_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35810004	35938846	NM_001349999.2_intron_11_0_chr22_35810005_r	612149	NA	NA	NA	NA
chr22	35975319	35975387	PE_1_of_1_in_NM_001349999.2_intron_12_0_chr22_35938898_r	NMD_in	RBFOX2	RBFOX2, RBM9, FOX2, RTA	chr22	35938897	36028239	NM_001349999.2_intron_12_0_chr22_35938898_r	612149	NA	NA	NA	NA
chr22	36326024	36326289	PE_1_of_1_in_NM_002473.6_intron_35_0_chr22_36322522_r	NMD_in	MYH9	MYH9, MHA, FTNS, DFNA17, BDPLT6, MATINS	chr22	36322521	36326567	NM_002473.6_intron_35_0_chr22_36322522_r	160775	Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss, 155100 (3), Autosomal dominant; Deafness, autosomal dominant 17, 603622 (3), Autosomal dominant	Rare Single Gene Mutation	2	0
chr22	36470062	36470212	PE_1_of_1_in_NM_012473.4_intron_0_0_chr22_36467918_r	NMD_in	TXN2	TXN2, TRX2, MTRX, COXPD29	chr22	36467917	36476732	NM_012473.4_intron_0_0_chr22_36467918_r	609063	?Combined oxidative phosphorylation deficiency 29, 616811 (3), Autosomal recessive	NA	NA	NA
chr22	37507485	37507612	PE_1_of_1_in_NM_014550.4_intron_13_0_chr22_37506384_r	NMD_in	CARD10	CARD10, CARMA3, BIMP1, IMD89	chr22	37506383	37507828	NM_014550.4_intron_13_0_chr22_37506384_r	607209	?Immunodeficiency 89 and autoimmunity, 619632 (3), Autosomal recessive	NA	NA	NA
chr22	38127407	38127458	PE_1_of_1_in_NM_003560.4_intron_7_0_chr22_38126450_r	NMD_in	PLA2G6	PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14	chr22	38126449	38128268	NM_003560.4_intron_7_0_chr22_38126450_r	603604	Parkinson disease 14, autosomal recessive, 612953 (3), Autosomal recessive; Neurodegeneration with brain iron accumulation 2B, 610217 (3), Autosomal recessive; Infantile neuroaxonal dystrophy 1, 256600 (3), Autosomal recessive	NA	NA	NA
chr22	38489223	38489458	PE_1_of_1_in_NM_006386.5_intron_1_0_chr22_38488116_r	NMD_in	DDX17	DDX17, RH70, P72	chr22	38488115	38492055	NM_006386.5_intron_1_0_chr22_38488116_r	608469	NA	NA	NA	NA
chr22	38709497	38709555	PE_1_of_1_in_NM_004286.5_intron_1_0_chr22_38708957_f	NMD_in	GTPBP1	GTPBP1, GP1	chr22	38708956	38715906	NM_004286.5_intron_1_0_chr22_38708957_f	602245	NA	NA	NA	NA
chr22	39242993	39243067	PE_1_of_1_in_NM_002608.4_intron_5_0_chr22_39235875_r	NMD_in	PDGFB	PDGFB, SIS, IBGC5	chr22	39235874	39243900	NM_002608.4_intron_5_0_chr22_39235875_r	190040	Meningioma, SIS-related, 607174 (3), Autosomal dominant; Basal ganglia calcification, idiopathic, 5, 615483 (3), Autosomal dominant; Dermatofibrosarcoma protuberans, 607907 (3)	NA	NA	NA
chr22	40817991	40818066	PE_1_of_1_in_NM_006358.4_intron_7_0_chr22_40799084_r	NMD_in	SLC25A17	SLC25A17, PMP34	chr22	40799083	40819194	NM_006358.4_intron_7_0_chr22_40799084_r	606795	NA	NA	NA	NA
chr22	40870048	40870139	PE_1_of_1_in_NM_022098.4_intron_1_0_chr22_40869116_f	NMD_in	XPNPEP3	XPNPEP3, APP3, NPHPL1	chr22	40869115	40881769	NM_022098.4_intron_1_0_chr22_40869116_f	613553	Nephronophthisis-like nephropathy 1, 613159 (3), Autosomal recessive	NA	NA	NA
chr22	41608479	41608528	PE_1_of_1_in_NM_015704.3_intron_4_0_chr22_41607862_r	NMD_in	DESI1	DESI1, PPPDE2	chr22	41607861	41620751	NM_015704.3_intron_4_0_chr22_41607862_r	614637	NA	NA	NA	NA
chr22	44081487	44081707	PE_1_of_1_in_NM_013327.5_intron_0_0_chr22_44024452_f	NMD_in	PARVB	PARVB	chr22	44024451	44093927	NM_013327.5_intron_0_0_chr22_44024452_f	608121	NA	NA	NA	NA
chr22	45562912	45563116	PE_1_of_1_in_NM_006486.3_intron_13_0_chr22_45550616_f	NMD_in	FBLN1	FBLN1	chr22	45550615	45574510	NM_006486.3_intron_13_0_chr22_45550616_f	135820	Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses, 608180 (4), Autosomal dominant	NA	NA	NA
chr22	47170182	47170280	PE_1_of_1_in_NM_014346.5_intron_11_0_chr22_47111604_f	NMD_in	TBC1D22A	TBC1D22A, C22orf4	chr22	47111603	47173497	NM_014346.5_intron_11_0_chr22_47111604_f	616879	NA	NA	NA	NA
chr22	50246495	50246552	PE_1_of_1_in_NM_032019.6_intron_3_0_chr22_50246377_r	NMD_in	HDAC10	HDAC10	chr22	50246376	50246678	NM_032019.6_intron_3_0_chr22_50246377_r	608544	NA	NA	NA	NA
chr22	50316817	50316864	PE_1_of_1_in_NM_001001794.4_intron_14_0_chr22_50316476_r	NMD_in	DENND6B	NA	chr22	50316475	50317292	NM_001001794.4_intron_14_0_chr22_50316476_r	NA	NA	NA	NA	NA
chr22	50697999	50698081	PE_1_of_1_in_NM_001372044.2_intron_13_0_chr22_50697716_f	NMD_in	SHANK3	SHANK3, PSAP2, PROSAP2, KIAA1650, DEL22q13.3, SCZD15	chr22	50697715	50698689	NM_001372044.2_intron_13_0_chr22_50697716_f	606230	Phelan-McDermid syndrome, 606232 (3), Autosomal dominant; {Schizophrenia 15}, 613950 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	0
chr3	3158393	3158516	PE_1_of_1_in_NM_016302.4_intron_5_0_chr3_3156282_r	NMD_in	CRBN	CRBN, MRT2	chr3	3156281	3167633	NM_016302.4_intron_5_0_chr3_3156282_r	609262	Intellectual developmental disorder, autosomal recessive 2, 607417 (3), Autosomal recessive	NA	NA	NA
chr3	4310897	4311060	PE_1_of_1_in_NM_006515.4_intron_0_0_chr3_4303527_f	NMD_in	SETMAR	SETMAR, METNASE	chr3	4303526	4312897	NM_006515.4_intron_0_0_chr3_4303527_f	609834	NA	NA	NA	NA
chr3	4709692	4709729	PE_1_of_1_in_NM_001378452.1_intron_36_0_chr3_4706352_f	NMD_in	ITPR1	ITPR1, SCA15, SCA16, SCA29	chr3	4706351	4710324	NM_001378452.1_intron_36_0_chr3_4706352_f	147265	Gillespie syndrome, 206700 (3), Autosomal recessive, Autosomal dominant; Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3), Autosomal dominant; Spinocerebellar ataxia 15, 606658 (3), Autosomal dominant	Rare Single Gene Mutation	2	0
chr3	4719080	4719147	PE_1_of_1_in_NM_001378452.1_intron_39_0_chr3_4717400_f	NMD_in	ITPR1	ITPR1, SCA15, SCA16, SCA29	chr3	4717399	4725545	NM_001378452.1_intron_39_0_chr3_4717400_f	147265	Gillespie syndrome, 206700 (3), Autosomal recessive, Autosomal dominant; Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3), Autosomal dominant; Spinocerebellar ataxia 15, 606658 (3), Autosomal dominant	Rare Single Gene Mutation	2	0
chr3	4727451	4727736	PE_1_of_1_in_NM_001378452.1_intron_41_0_chr3_4727174_f	NMD_in	ITPR1	ITPR1, SCA15, SCA16, SCA29	chr3	4727173	4733087	NM_001378452.1_intron_41_0_chr3_4727174_f	147265	Gillespie syndrome, 206700 (3), Autosomal recessive, Autosomal dominant; Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3), Autosomal dominant; Spinocerebellar ataxia 15, 606658 (3), Autosomal dominant	Rare Single Gene Mutation	2	0
chr3	7610730	7610775	PE_1_of_1_in_NM_000844.4_intron_7_0_chr3_7579358_f	NMD_in	GRM7	GRM7, MGLUR7, NEDSHBA	chr3	7579357	7680048	NM_000844.4_intron_7_0_chr3_7579358_f	604101	Neurodevelopmental disorder with seizures, hypotonia, and brain abnormalities, 618922 (3), Autosomal recessive	Rare Single Gene Mutation, Genetic Association, Functional	2	0
chr3	9028100	9028130	PE_1_of_1_in_NM_014850.4_intron_9_0_chr3_9026996_r	NMD_in	SRGAP3	SRGAP3, KIAA0411, MEGAP	chr3	9026995	9032649	NM_014850.4_intron_9_0_chr3_9026996_r	606525	NA	Rare Single Gene Mutation	2	0
chr3	9429827	9430051	PE_1_of_1_in_NM_001080517.3_intron_2_0_chr3_9429010_f	NMD_in	SETD5	SETD5, KIAA1757, MRD23	chr3	9429009	9433844	NM_001080517.3_intron_2_0_chr3_9429010_f	615743	Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0
chr3	9434590	9434630	PE_1_of_1_in_NM_001080517.3_intron_4_0_chr3_9434486_f	NMD_in	SETD5	SETD5, KIAA1757, MRD23	chr3	9434485	9434823	NM_001080517.3_intron_4_0_chr3_9434486_f	615743	Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0
chr3	9452331	9452444	PE_1_of_1_in_NM_001080517.3_intron_15_0_chr3_9448631_f	NMD_in	SETD5	SETD5, KIAA1757, MRD23	chr3	9448630	9453738	NM_001080517.3_intron_15_0_chr3_9448631_f	615743	Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0
chr3	9454005	9454101	PE_1_of_1_in_NM_001080517.3_intron_16_0_chr3_9453869_f	NMD_in	SETD5	SETD5, KIAA1757, MRD23	chr3	9453868	9464424	NM_001080517.3_intron_16_0_chr3_9453869_f	615743	Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0
chr3	9468519	9468615	PE_1_of_1_in_NM_001080517.3_intron_17_0_chr3_9464673_f	NMD_in	SETD5	SETD5, KIAA1757, MRD23	chr3	9464672	9470458	NM_001080517.3_intron_17_0_chr3_9464673_f	615743	Intellectual developmental disorder, autosomal dominant 23, 615761 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic	1	0
chr3	9550568	9550656	PE_1_of_2_in_NM_198560.3_intron_1_0_chr3_9506204_r	NMD_in	LHFPL4	LHFPL4	chr3	9506203	9552273	NM_198560.3_intron_1_0_chr3_9506204_r	610240	NA	NA	NA	NA
chr3	9551645	9551818	PE_2_of_2_in_NM_198560.3_intron_1_0_chr3_9506204_r	NMD_in	LHFPL4	LHFPL4	chr3	9506203	9552273	NM_198560.3_intron_1_0_chr3_9506204_r	610240	NA	NA	NA	NA
chr3	9672011	9672144	PE_1_of_1_in_NM_001077525.3_intron_5_0_chr3_9671171_f	NMD_in	MTMR14	MTMR14, C3orf29, HJUMPY	chr3	9671170	9672684	NM_001077525.3_intron_5_0_chr3_9671171_f	611089	{Centronuclear myopathy, autosomal, modifier of}, 160150 (3), Autosomal dominant	NA	NA	NA
chr3	9797360	9797564	PE_1_of_1_in_NM_005718.5_intron_0_0_chr3_9793125_f	NMD_in	ARPC4	ARPC4, ARC20	chr3	9793124	9797658	NM_005718.5_intron_0_0_chr3_9793125_f	604226	NA	NA	NA	NA
chr3	10278664	10278760	PE_1_of_1_in_NM_014760.4_intron_5_0_chr3_10278463_f	NMD_in	TATDN2	TATDN2, KIAA0218	chr3	10278462	10278884	NM_014760.4_intron_5_0_chr3_10278463_f	619330	NA	NA	NA	NA
chr3	10363425	10363581	PE_1_of_1_in_NM_001001331.4_intron_10_0_chr3_10360124_r	NMD_in	ATP2B2	ATP2B2, PMCA2, DFNA82	chr3	10360123	10371808	NM_001001331.4_intron_10_0_chr3_10360124_r	108733	Deafness, autosomal dominant 82, 619804 (3), Autosomal dominant; {Deafness, autosomal recessive 12, modifier of}, 601386 (3), Autosomal recessive	Rare Single Gene Mutation, Genetic Association	2	0
chr3	13325511	13325702	PE_1_of_1_in_NM_024923.4_intron_6_0_chr3_13323433_r	NMD_in	NUP210	NUP210, GP210, KIAA0906	chr3	13323432	13325794	NM_024923.4_intron_6_0_chr3_13323433_r	607703	NA	NA	NA	NA
chr3	14444738	14444866	PE_1_of_1_in_NM_003043.6_intron_2_0_chr3_14443864_f	NMD_in	SLC6A6	SLC6A6, TAUT, HTRDC	chr3	14443863	14445716	NM_003043.6_intron_2_0_chr3_14443864_f	186854	Hypotaurinemic retinal degeneration and cardiomyopathy, 145350 (3), Autosomal recessive	NA	NA	NA
chr3	15016846	15016952	PE_1_of_1_in_NM_001291694.2_intron_3_0_chr3_15016255_f	NMD_in	NR2C2	NR2C2, TR4, TAK1	chr3	15016254	15020752	NM_001291694.2_intron_3_0_chr3_15016255_f	601426	NA	NA	NA	NA
chr3	15246402	15246624	PE_1_of_1_in_NM_014296.3_intron_16_0_chr3_15245672_f	NMD_in	CAPN7	CAPN7, PALBH	chr3	15245671	15246731	NM_014296.3_intron_16_0_chr3_15245672_f	606400	NA	NA	NA	NA
chr3	16285032	16285178	PE_1_of_1_in_NM_138381.5_intron_3_0_chr3_16271723_f	NMD_in	OXNAD1	NA	chr3	16271722	16286341	NM_138381.5_intron_3_0_chr3_16271723_f	NA	NA	NA	NA	NA
chr3	16996392	16996605	PE_1_of_1_in_NM_001144382.2_intron_0_0_chr3_16885367_f	NMD_in	PLCL2	PLCL2, KIAA1092	chr3	16885366	17009673	NM_001144382.2_intron_0_0_chr3_16885367_f	614276	NA	NA	NA	NA
chr3	17282547	17282679	PE_1_of_1_in_NM_001349074.2_intron_7_0_chr3_17258592_r	NMD_in	TBC1D5	TBC1D5, KIAA0210	chr3	17258591	17291894	NM_001349074.2_intron_7_0_chr3_17258592_r	615740	NA	Rare Single Gene Mutation, Genetic Association	2	0
chr3	20136389	20136475	PE_1_of_1_in_NM_003884.5_intron_10_0_chr3_20127550_f	NMD_in	KAT2B	CAF	chr3	20127549	20136941	NM_003884.5_intron_10_0_chr3_20127550_f	602303	NA	Rare Single Gene Mutation, Functional	2	0
chr3	25473224	25473333	PE_1_of_1_in_NM_000965.5_intron_1_0_chr3_25461342_f	NMD_in	RARB	RARB, HAP, MCOPS12	chr3	25461341	25501181	NM_000965.5_intron_1_0_chr3_25461342_f	180220	Microphthalmia, syndromic 12, 615524 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA
chr3	27405989	27406089	PE_1_of_1_in_NM_001321103.2_intron_12_0_chr3_27404964_r	NMD_in	SLC4A7	SLC4A7, NBC2, NBC3	chr3	27404963	27409355	NM_001321103.2_intron_12_0_chr3_27404964_r	603353	NA	NA	NA	NA
chr3	32755796	32755951	PE_1_of_1_in_NM_015442.3_intron_12_0_chr3_32737491_f	NMD_in	CNOT10	NA	chr3	32737490	32759457	NM_015442.3_intron_12_0_chr3_32737491_f	NA	NA	NA	NA	NA
chr3	32999062	32999233	PE_1_of_1_in_NM_000404.4_intron_0_0_chr3_32997345_r	NMD_in	GLB1	GLB1, MPS4B	chr3	32997344	33014055	NM_000404.4_intron_0_0_chr3_32997345_r	611458	GM1-gangliosidosis, type I, 230500 (3), Autosomal recessive; GM1-gangliosidosis, type III, 230650 (3), Autosomal recessive; Mucopolysaccharidosis type IVB (Morquio), 253010 (3), Autosomal recessive; GM1-gangliosidosis, type II, 230600 (3), Autosomal recessive	NA	NA	NA
chr3	33355851	33356001	PE_1_of_1_in_NM_012157.5_intron_1_0_chr3_33297726_f	NMD_in	FBXL2	FBXL2, FBL2	chr3	33297725	33358966	NM_012157.5_intron_1_0_chr3_33297726_f	605652	NA	NA	NA	NA
chr3	33378465	33378558	PE_1_of_1_in_NM_012157.5_intron_11_0_chr3_33378148_f	NMD_in	FBXL2	FBXL2, FBL2	chr3	33378147	33378684	NM_012157.5_intron_11_0_chr3_33378148_f	605652	NA	NA	NA	NA
chr3	33396444	33396515	PE_1_of_2_in_NM_014517.5_intron_3_0_chr3_33396281_r	NMD_in	UBP1	UBP1, LBP1A, LBP1B	chr3	33396280	33397044	NM_014517.5_intron_3_0_chr3_33396281_r	609784	NA	NA	NA	NA
chr3	33396744	33396877	PE_2_of_2_in_NM_014517.5_intron_3_0_chr3_33396281_r	NMD_in	UBP1	UBP1, LBP1A, LBP1B	chr3	33396280	33397044	NM_014517.5_intron_3_0_chr3_33396281_r	609784	NA	NA	NA	NA
chr3	33566461	33566645	PE_1_of_1_in_NM_001365631.1_intron_11_0_chr3_33560972_r	NMD_in	CLASP2	CLASP2	chr3	33560971	33566731	NM_001365631.1_intron_11_0_chr3_33560972_r	605853	NA	NA	NA	NA
chr3	33576694	33576755	PE_1_of_1_in_NM_001365631.1_intron_15_0_chr3_33576276_r	NMD_in	CLASP2	CLASP2	chr3	33576275	33581820	NM_001365631.1_intron_15_0_chr3_33576276_r	605853	NA	NA	NA	NA
chr3	35705741	35705944	PE_1_of_1_in_NM_001385562.1_intron_8_0_chr3_35691006_f	NMD_in	ARPP21	ARPP21, RCS	chr3	35691005	35706973	NM_001385562.1_intron_8_0_chr3_35691006_f	605488	NA	NA	NA	NA
chr3	35740000	35740127	PE_1_of_1_in_NM_001385562.1_intron_17_0_chr3_35739578_f	NMD_in	ARPP21	ARPP21, RCS	chr3	35739577	35743838	NM_001385562.1_intron_17_0_chr3_35739578_f	605488	NA	NA	NA	NA
chr3	36839940	36840025	PE_1_of_1_in_NM_001329998.2_intron_5_0_chr3_36838717_r	NMD_in	TRANK1	TRANK1, KIAA0342	chr3	36838716	36842621	NM_001329998.2_intron_5_0_chr3_36838717_r	619316	NA	NA	NA	NA
chr3	36996936	36997138	PE_1_of_1_in_NM_000249.4_intron_1_0_chr3_36996710_f	NMD_in	MLH1	MLH1, COCA2, HNPCC2, MMRCS1	chr3	36996709	37000954	NM_000249.4_intron_1_0_chr3_36996710_f	120436	Colorectal cancer, hereditary nonpolyposis, type 2, 609310 (3); Muir-Torre syndrome, 158320 (3), Autosomal dominant; Mismatch repair cancer syndrome 1, 276300 (3), Autosomal recessive	NA	NA	NA
chr3	37354194	37354328	PE_1_of_2_in_NM_002078.5_intron_20_0_chr3_37347297_f	NMD_in	GOLGA4	GOLGA4	chr3	37347296	37355100	NM_002078.5_intron_20_0_chr3_37347297_f	602509	NA	NA	NA	NA
chr3	37354422	37354480	PE_2_of_2_in_NM_002078.5_intron_20_0_chr3_37347297_f	NMD_in	GOLGA4	GOLGA4	chr3	37347296	37355100	NM_002078.5_intron_20_0_chr3_37347297_f	602509	NA	NA	NA	NA
chr3	38193281	38193417	PE_1_of_1_in_NM_005109.3_intron_2_0_chr3_38190840_f	NMD_in	OXSR1	OSR1	chr3	38190839	38198721	NM_005109.3_intron_2_0_chr3_38190840_f	604046	NA	NA	NA	NA
